Name,Type,Description,
Builtin,builtinDomain,,
Computers,Container,Default container for upgraded computer accounts,
ForeignSecurityPrincipals,Container,Default container for security identifiers (SIDs) associated with objects from external, trusted domains,
Managed Service Accounts,Container,Default container for managed service accounts.,
Users,Container,Default container for upgraded user accounts,
CRM,Organizational Unit,,
CRM2013Test,Organizational Unit,,
CRMTEST,Organizational Unit,,
Domain Controllers,Organizational Unit,Default container for new Windows 2000 domain controllers,
FIM,Organizational Unit,,
Microsoft Exchange Security Groups,Organizational Unit,,
Open Windows,Organizational Unit,,
Rooms,Organizational Unit,,
SCCM,Organizational Unit,,
Servers,Organizational Unit,,
Services,Organizational Unit,,
SharePointOU,Organizational Unit,,
PrivUserGroup {4f5b44d1-297d-4533-be42-36a7288df2ed},Security Group - Domain Local,,
ReportingGroup {4f5b44d1-297d-4533-be42-36a7288df2ed},Security Group - Domain Local,,
SQLAccessGroup {4f5b44d1-297d-4533-be42-36a7288df2ed},Security Group - Domain Local,,
UserGroup {4f5b44d1-297d-4533-be42-36a7288df2ed},Security Group - Domain Local,,
